Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,
Conv1,  1,   18000,    1, 30,    1,      128,     1,
Conv2,  128, 18000,    1, 30,    1,      128,     1,
Pool1,  128, 18000,    1, 5,     1,      1,       5,
Conv3,  128, 3600,     1, 30,    1,      128,     1,
Pool2,  128, 3600,     1, 5,     1,      1,       5,
Conv4,  128, 720,      1, 30,    1,      128,     1,
Pool3,  128, 720,      1, 5,     1,      1,       5,
FC1,     1,  18432,    1, 18432, 1,      512,     1,
FC2,     1,  512,      1, 512,   1,      128,     1,
FC3,     1,  128,      1, 128,   1,      4,       1,
