Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,

MHA_head_1_cal_query,  1024, 128,    1, 128,    1,       64,     1,
MHA_head_1_cal_key,    1024, 128,    1, 128,    1,       64,     1,
MHA_head_1_cal_value,  1024, 128,    1, 128,    1,       64,     1,
MHA_head_1_self_att1,  1024,  64,    1,  64,    1,      128,     1,
MHA_head_1_self_att2,  1024, 128,    1, 128,    1,       64,     1,
MHA_head_2_cal_query,  1024, 128,    1, 128,    1,       64,     1,
MHA_head_2_cal_key,    1024, 128,    1, 128,    1,       64,     1,
MHA_head_2_cal_value,  1024, 128,    1, 128,    1,       64,     1,
MHA_head_2_self_att1,  1024,  64,    1,  64,    1,      128,     1,
MHA_head_2_self_att2,  1024, 128,    1, 128,    1,       64,     1,
MHA_concat_final_op,   1024, 128,    1, 128,    1,      128,     1,
FFN1_input,            1024, 128,    1, 128,    1,      512,     1,
FFN1_inter,            1024, 512,    1, 512,    1,      128,     1,

MHA_head_1_cal_query,  1024, 128,    1, 128,    1,       64,     1,
MHA_head_1_cal_key,    1024, 128,    1, 128,    1,       64,     1,
MHA_head_1_cal_value,  1024, 128,    1, 128,    1,       64,     1,
MHA_head_1_self_att1,  1024,  64,    1,  64,    1,      128,     1,
MHA_head_1_self_att2,  1024, 128,    1, 128,    1,       64,     1,
MHA_head_2_cal_query,  1024, 128,    1, 128,    1,       64,     1,
MHA_head_2_cal_key,    1024, 128,    1, 128,    1,       64,     1,
MHA_head_2_cal_value,  1024, 128,    1, 128,    1,       64,     1,
MHA_head_2_self_att1,  1024,  64,    1,  64,    1,      128,     1,
MHA_head_2_self_att2,  1024, 128,    1, 128,    1,       64,     1,
MHA_concat_final_op,   1024, 128,    1, 128,    1,      128,     1,
FFN1_input,            1024, 128,    1, 128,    1,      512,     1,
FFN1_inter,            1024, 512,    1, 512,    1,      128,     1,
