Layer name, Layer type, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,

MHA_head_1_cal_query, FC,  16, 128,    1, 128,    1,       64,     1,
MHA_head_1_cal_key,   FC,  16, 128,    1, 128,    1,       64,     1,
MHA_head_1_cal_value, FC,  16, 128,    1, 128,    1,       64,     1,
MHA_head_1_self_att1, FC,  16,  64,    1,  64,    1,      128,     1,
MHA_head_1_self_att2, FC,  16, 128,    1, 128,    1,       64,     1,
MHA_head_2_cal_query, FC,  16, 128,    1, 128,    1,       64,     1,
MHA_head_2_cal_key,   FC,  16, 128,    1, 128,    1,       64,     1,
MHA_head_2_cal_value, FC,  16, 128,    1, 128,    1,       64,     1,
MHA_head_2_self_att1, FC,  16,  64,    1,  64,    1,      128,     1,
MHA_head_2_self_att2, FC,  16, 128,    1, 128,    1,       64,     1,
MHA_concat_final_op,  FC,  16, 128,    1, 128,    1,      128,     1,
FFN1_input,           FC,  16, 128,    1, 128,    1,      512,     1,
FFN1_inter,           FC,  16, 512,    1, 512,    1,      128,     1,

MHA_head_1_cal_query, FC,  16, 128,    1, 128,    1,       64,     1,
MHA_head_1_cal_key,   FC,  16, 128,    1, 128,    1,       64,     1,
MHA_head_1_cal_value, FC,  16, 128,    1, 128,    1,       64,     1,
MHA_head_1_self_att1, FC,  16,  64,    1,  64,    1,      128,     1,
MHA_head_1_self_att2, FC,  16, 128,    1, 128,    1,       64,     1,
MHA_head_2_cal_query, FC,  16, 128,    1, 128,    1,       64,     1,
MHA_head_2_cal_key,   FC,  16, 128,    1, 128,    1,       64,     1,
MHA_head_2_cal_value, FC,  16, 128,    1, 128,    1,       64,     1,
MHA_head_2_self_att1, FC,  16,  64,    1,  64,    1,      128,     1,
MHA_head_2_self_att2, FC,  16, 128,    1, 128,    1,       64,     1,
MHA_concat_final_op,  FC,  16, 128,    1, 128,    1,      128,     1,
FFN1_input,           FC,  16, 128,    1, 128,    1,      512,     1,
FFN1_inter,           FC,  16, 512,    1, 512,    1,      128,     1,
