Layer name, Layer type, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,

MHA_head_1_cal_query, FC,  16,  384,    1,  384,    1,      384,     1,
MHA_head_1_cal_key,   FC,  16,  384,    1,  384,    1,      384,     1,
MHA_head_1_cal_value, FC,  16,  384,    1,  384,    1,      384,     1,
MHA_head_1_self_att1, FC,  16,  384,    1,  384,    1,      128,     1,
MHA_head_1_self_att2, FC,  16,  384,    1,  384,    1,      384,     1,
MHA_proj_final_op,    FC,  16,  384,    1,  384,    1,      384,     1,
FFN1_input,           FC,  16,  384,    1,  384,    1,     1536,     1,
FFN1_inter,           FC,  16, 1536,    1, 1536,    1,      384,     1,

MHA_head_1_cal_query, FC,  16,  384,    1,  384,    1,      384,     1,
MHA_head_1_cal_key,   FC,  16,  384,    1,  384,    1,      384,     1,
MHA_head_1_cal_value, FC,  16,  384,    1,  384,    1,      384,     1,
MHA_head_1_self_att1, FC,  16,  384,    1,  384,    1,      128,     1,
MHA_head_1_self_att2, FC,  16,  384,    1,  384,    1,      384,     1,
MHA_proj_final_op,    FC,  16,  384,    1,  384,    1,      384,     1,
FFN1_input_exp1,      FC,  16,  384,    1,  384,    1,      384,     1,
FFN1_input_exp2,      FC,  16,  384,    1,  384,    1,      384,     1,
FFN2_input_exp1,      FC,  16,  384,    1,  384,    1,      384,     1,
FFN2_input_exp2,      FC,  16,  384,    1,  384,    1,      384,     1,

MHA_head_1_cal_query, FC,  16,  384,    1,  384,    1,      384,     1,
MHA_head_1_cal_key,   FC,  16,  384,    1,  384,    1,      384,     1,
MHA_head_1_cal_value, FC,  16,  384,    1,  384,    1,      384,     1,
MHA_head_1_self_att1, FC,  16,  384,    1,  384,    1,      128,     1,
MHA_head_1_self_att2, FC,  16,  384,    1,  384,    1,      384,     1,
MHA_proj_final_op,    FC,  16,  384,    1,  384,    1,      384,     1,
FFN1_input,           FC,  16,  384,    1,  384,    1,     1536,     1,
