Layer name, Layer type, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,

FFN1_input,           FC,  16,  384,    1,  384,    1,     1536,     1,
FFN1_inter,           FC,  16, 1536,    1, 1536,    1,      384,     1,

FFN1_input_exp1,      FC,  16,  384,    1,  384,    1,      384,     1,
FFN1_input_exp2,      FC,  16,  384,    1,  384,    1,      384,     1,
FFN1_input_exp3,      FC,  16,  384,    1,  384,    1,      384,     1,
FFN1_input_exp4,      FC,  16,  384,    1,  384,    1,      384,     1,
FFN1_input_exp5,      FC,  16,  384,    1,  384,    1,      384,     1,
FFN1_input_exp6,      FC,  16,  384,    1,  384,    1,      384,     1,
FFN1_input_exp7,      FC,  16,  384,    1,  384,    1,      384,     1,
FFN1_input_exp8,      FC,  16,  384,    1,  384,    1,      384,     1,
FFN1_input_exp9,      FC,  16,  384,    1,  384,    1,      384,     1,
FFN1_input_exp10,     FC,  16,  384,    1,  384,    1,      384,     1,
FFN1_input_exp11,     FC,  16,  384,    1,  384,    1,      384,     1,
FFN1_input_exp12,     FC,  16,  384,    1,  384,    1,      384,     1,
FFN1_input_exp13,     FC,  16,  384,    1,  384,    1,      384,     1,
FFN1_input_exp14,     FC,  16,  384,    1,  384,    1,      384,     1,
FFN1_input_exp15,     FC,  16,  384,    1,  384,    1,      384,     1,
FFN1_input_exp16,     FC,  16,  384,    1,  384,    1,      384,     1,
FFN1_input_exp17,     FC,  16,  384,    1,  384,    1,      384,     1,
FFN1_input_exp18,     FC,  16,  384,    1,  384,    1,      384,     1,
FFN1_input_exp19,     FC,  16,  384,    1,  384,    1,      384,     1,
FFN1_input_exp20,     FC,  16,  384,    1,  384,    1,      384,     1,
FFN1_input_exp21,     FC,  16,  384,    1,  384,    1,      384,     1,
FFN1_input_exp22,     FC,  16,  384,    1,  384,    1,      384,     1,
FFN1_input_exp23,     FC,  16,  384,    1,  384,    1,      384,     1,
FFN1_input_exp24,     FC,  16,  384,    1,  384,    1,      384,     1,
